Latitude (decimal degrees):	51.498
Longitude (decimal degrees):	6.549
Elevation (m):	27
Radiation database:	PVGIS-SARAH


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20160101:0010,0.0,0.0,5.38,4.87,0.0
20160101:0110,0.0,0.0,5.53,4.77,0.0
20160101:0210,0.0,0.0,5.68,4.68,0.0
20160101:0310,0.0,0.0,5.83,4.58,0.0
20160101:0410,0.0,0.0,5.49,4.13,0.0
20160101:0510,0.0,0.0,5.16,3.69,0.0
20160101:0610,0.0,0.0,4.82,3.24,0.0
20160101:0710,0.0,0.0,4.84,2.92,0.0
20160101:0810,0.0,0.0,4.86,2.61,0.0
20160101:0910,48.0,8.88,4.88,2.29,1.0
20160101:1010,180.01,13.12,5.98,2.07,1.0
20160101:1110,14.0,15.27,7.08,1.85,1.0
20160101:1210,10.0,15.12,8.19,1.63,1.0
20160101:1310,0.0,0.0,7.79,1.71,0.0
20160101:1410,14.0,8.22,7.39,1.79,1.0
20160101:1510,0.0,0.0,6.99,1.88,0.0
20160101:1610,0.0,0.0,6.6,2.69,0.0
20160101:1710,0.0,0.0,6.21,3.51,0.0
20160101:1810,0.0,0.0,5.82,4.33,0.0
20160101:1910,0.0,0.0,5.71,4.66,0.0
20160101:2010,0.0,0.0,5.6,4.99,0.0
20160101:2110,0.0,0.0,5.49,5.32,0.0
20160101:2210,0.0,0.0,5.31,5.55,0.0
20160101:2310,0.0,0.0,5.12,5.78,0.0
20160102:0010,0.0,0.0,4.94,6.01,0.0
20160102:0110,0.0,0.0,5.12,6.14,0.0
20160102:0210,0.0,0.0,5.3,6.27,0.0
20160102:0310,0.0,0.0,5.49,6.4,0.0
20160102:0410,0.0,0.0,5.35,6.39,0.0
20160102:0510,0.0,0.0,5.2,6.37,0.0
20160102:0610,0.0,0.0,5.06,6.36,0.0
20160102:0710,0.0,0.0,5.27,6.33,0.0
20160102:0810,0.0,0.0,5.47,6.3,0.0
20160102:0910,54.7,8.92,5.67,6.28,1.0
20160102:1010,2.0,13.18,6.35,6.15,1.0
20160102:1110,0.0,0.0,7.03,6.03,0.0
20160102:1210,10.0,15.22,7.71,5.9,1.0
20160102:1310,0.0,0.0,7.96,5.62,0.0
20160102:1410,0.0,0.0,8.22,5.34,0.0
20160102:1510,0.0,0.0,8.47,5.06,0.0
20160102:1610,0.0,0.0,8.16,5.08,0.0
20160102:1710,0.0,0.0,7.85,5.09,0.0
20160102:1810,0.0,0.0,7.53,5.1,0.0
20160102:1910,0.0,0.0,7.61,5.06,0.0
20160102:2010,0.0,0.0,7.68,5.02,0.0
20160102:2110,0.0,0.0,7.75,4.98,0.0
20160102:2210,0.0,0.0,7.76,5.03,0.0
20160102:2310,0.0,0.0,7.77,5.09,0.0
20160103:0010,0.0,0.0,7.78,5.14,0.0
20160103:0110,0.0,0.0,7.42,5.32,0.0
20160103:0210,0.0,0.0,7.06,5.5,0.0
20160103:0310,0.0,0.0,6.71,5.68,0.0
20160103:0410,0.0,0.0,6.66,5.52,0.0
20160103:0510,0.0,0.0,6.6,5.35,0.0
20160103:0610,0.0,0.0,6.55,5.19,0.0
20160103:0710,0.0,0.0,6.51,4.97,0.0
20160103:0810,0.0,0.0,6.47,4.76,0.0
20160103:0910,24.0,8.97,6.42,4.55,1.0
20160103:1010,8.0,13.25,6.63,4.53,1.0
20160103:1110,18.0,15.43,6.84,4.51,1.0
20160103:1210,126.0,15.32,7.05,4.48,1.0
20160103:1310,82.0,12.92,6.87,4.67,1.0
20160103:1410,30.0,8.46,6.7,4.85,1.0
20160103:1510,0.0,0.0,6.52,5.03,0.0
20160103:1610,0.0,0.0,6.33,5.49,0.0
20160103:1710,0.0,0.0,6.13,5.94,0.0
20160103:1810,0.0,0.0,5.93,6.4,0.0
20160103:1910,0.0,0.0,5.6,6.63,0.0
20160103:2010,0.0,0.0,5.26,6.85,0.0
20160103:2110,0.0,0.0,4.93,7.08,0.0
20160103:2210,0.0,0.0,4.73,7.15,0.0
20160103:2310,0.0,0.0,4.52,7.22,0.0
20160104:0010,0.0,0.0,4.32,7.3,0.0
20160104:0110,0.0,0.0,4.57,6.98,0.0
20160104:0210,0.0,0.0,4.82,6.67,0.0
20160104:0310,0.0,0.0,5.08,6.36,0.0
20160104:0410,0.0,0.0,5.15,5.49,0.0
20160104:0510,0.0,0.0,5.22,4.63,0.0
20160104:0610,0.0,0.0,5.29,3.77,0.0
20160104:0710,0.0,0.0,5.47,3.27,0.0
20160104:0810,2.97,2.98,5.64,2.77,1.0
20160104:0910,22.0,9.03,5.81,2.28,1.0
20160104:1010,24.0,13.32,6.37,2.4,1.0
20160104:1110,8.0,15.53,6.93,2.51,1.0
20160104:1210,0.0,0.0,7.49,2.63,0.0
20160104:1310,0.0,0.0,7.17,2.4,0.0
20160104:1410,0.0,0.0,6.84,2.17,0.0
20160104:1510,1.98,2.42,6.52,1.93,1.0
20160104:1610,0.0,0.0,6.34,2.21,0.0
20160104:1710,0.0,0.0,6.16,2.48,0.0
20160104:1810,0.0,0.0,5.97,2.76,0.0
20160104:1910,0.0,0.0,5.87,3.04,0.0
20160104:2010,0.0,0.0,5.76,3.33,0.0
20160104:2110,0.0,0.0,5.66,3.61,0.0
20160104:2210,0.0,0.0,5.69,3.58,0.0
20160104:2310,0.0,0.0,5.73,3.55,0.0
20160105:0010,0.0,0.0,5.76,3.52,0.0
20160105:0110,0.0,0.0,5.58,3.34,0.0
20160105:0210,0.0,0.0,5.4,3.17,0.0
20160105:0310,0.0,0.0,5.23,2.99,0.0
20160105:0410,0.0,0.0,4.93,2.99,0.0
20160105:0510,0.0,0.0,4.62,2.99,0.0
20160105:0610,0.0,0.0,4.32,2.99,0.0
20160105:0710,0.0,0.0,4.51,3.12,0.0
20160105:0810,0.0,0.0,4.7,3.24,0.0
20160105:0910,0.0,0.0,4.89,3.37,0.0
20160105:1010,0.0,0.0,5.67,3.39,0.0
20160105:1110,0.0,0.0,6.45,3.41,0.0
20160105:1210,0.0,0.0,7.24,3.43,0.0
20160105:1310,8.0,13.18,7.01,3.05,1.0
20160105:1410,0.0,0.0,6.78,2.67,0.0
20160105:1510,0.0,0.0,6.55,2.29,0.0
20160105:1610,0.0,0.0,6.38,2.42,0.0
20160105:1710,0.0,0.0,6.2,2.56,0.0
