Latitude (decimal degrees): 51.498
Longitude (decimal degrees): 6.549
Elevation (m): 27.0
month,year
1,2006
2,2006
3,2009
4,2014
5,2009
6,2009
7,2007
8,2007
9,2006
10,2007
11,2015
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,2.64,95.96,0.0,-0.0,0.0,305.51,3.18,222.0,99498.0
20060101:0100,2.73,95.65,0.0,-0.0,0.0,309.46,3.53,221.0,99514.0
20060101:0200,2.83,95.34,0.0,-0.0,0.0,313.41,3.89,221.0,99531.0
20060101:0300,2.92,95.02,0.0,-0.0,0.0,317.36,4.24,217.0,99564.0
20060101:0400,3.01,94.71,0.0,-0.0,0.0,321.31,4.59,214.0,99597.0
20060101:0500,3.1,94.4,0.0,-0.0,0.0,325.26,4.95,211.0,99630.0
20060101:0600,3.19,94.09,0.0,-0.0,0.0,329.21,5.3,207.0,99687.0
20060101:0700,3.29,93.77,0.0,-0.0,0.0,333.16,5.65,202.0,99743.0
20060101:0800,3.46,94.77,10.45,22.83,9.3,316.3,4.95,198.0,99800.0
20060101:0900,3.89,93.99,53.0,12.95,51.0,316.78,4.97,196.0,99830.0
20060101:1000,4.32,93.21,95.0,26.43,89.0,317.27,4.99,194.0,99860.0
20060101:1100,4.76,92.43,204.0,356.91,110.0,317.75,5.01,193.0,99890.0
20060101:1200,4.12,91.99,242.0,670.72,67.0,314.5,4.11,179.0,99973.0
20060101:1300,3.47,91.56,93.0,27.29,87.0,311.25,3.2,165.0,100056.0
20060101:1400,2.83,91.12,44.0,7.0,43.0,308.0,2.3,151.0,100139.0
20060101:1500,2.5,92.49,0.0,0.0,0.0,313.23,2.18,139.0,100222.0
20060101:1600,2.17,93.86,0.0,-0.0,0.0,318.47,2.06,126.0,100305.0
20060101:1700,1.84,95.23,0.0,-0.0,0.0,323.7,1.94,114.0,100388.0
20060101:1800,1.64,95.87,0.0,-0.0,0.0,323.32,1.83,98.0,100488.0
20060101:1900,1.43,96.52,0.0,-0.0,0.0,322.93,1.71,81.0,100587.0
20060101:2000,1.22,97.16,0.0,-0.0,0.0,322.55,1.6,65.0,100687.0
20060101:2100,1.29,97.28,0.0,-0.0,0.0,321.68,1.71,58.0,100777.0
